time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-12-15 09:30:00-05:00,MLTrader,b23cdbdbed1c4acd973d96e90b3427ea,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-15 09:30:00-05:00,MLTrader,b23cdbdbed1c4acd973d96e90b3427ea,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.29998779296875,126.0,0.0
2022-12-16 09:30:00-05:00,MLTrader,70866d74ff7c45d9802fdec2b463d31d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-12-16 09:30:00-05:00,MLTrader,338697c42b2f41d9b73eaee52d978071,SPY,sell,limit,fill,1,day,0.0,1,stock,385.17999267578125,126.0,0.0
