time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-12-15 09:30:00-05:00,MLTrader,42384a43c0e4420c857f6e1a4c7bce60,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-15 09:30:00-05:00,MLTrader,42384a43c0e4420c857f6e1a4c7bce60,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.29998779296875,126.0,0.0
2022-12-16 09:30:00-05:00,MLTrader,201bd961610344279785ccca3e7b2503,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-12-16 09:30:00-05:00,MLTrader,b194214316e44d3c89347ad403b42c13,SPY,sell,limit,fill,1,day,0.0,1,stock,385.17999267578125,126.0,0.0
