time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-12-15 09:30:00-05:00,MLTrader,ce8ff43ef7494c3bb2acddcd8652601d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-15 09:30:00-05:00,MLTrader,ce8ff43ef7494c3bb2acddcd8652601d,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.29998779296875,126.0,0.0
2022-12-16 09:30:00-05:00,MLTrader,82c23949c5ed45789e7113fed536daad,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-12-16 09:30:00-05:00,MLTrader,dd9a86b25ef64fa99559ee126aeb9096,SPY,sell,limit,fill,1,day,0.0,1,stock,385.17999267578125,126.0,0.0
