datetime,portfolio_value,cash,positions,return
2022-12-15 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2022-12-16 09:30:00-05:00,98850.88061523438,50318.20153808594,"[{'asset': USD, 'quantity': 50318.20153808594}, {'asset': SPY, 'quantity': 126.0}]",-0.01149119384765629
2022-12-17 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-19 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-20 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-21 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-22 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-23 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-24 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-27 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-28 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-29 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-30 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
2022-12-31 09:30:00-05:00,98850.88061523438,98850.88061523438,"[{'asset': USD, 'quantity': 98850.88061523438}]",0.0
