time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-12-15 09:30:00-05:00,MLTrader,fa829a4cd7b342ed8f8643aa1d0f05ea,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-12-15 09:30:00-05:00,MLTrader,fa829a4cd7b342ed8f8643aa1d0f05ea,SPY,buy,market,fill,1,gtc,0.0,1,stock,394.29998779296875,126.0,0.0
2022-12-16 09:30:00-05:00,MLTrader,6bbc5c61d3c64d68a506e92c83b5601e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-12-16 09:30:00-05:00,MLTrader,890da21ff1994fedabacc5ab0d5fcbfe,SPY,sell,limit,fill,1,day,0.0,1,stock,385.17999267578125,126.0,0.0
